CA,7CHARGE,35,35,0,11,1
CA,ABM,83,5,78,16,1
MA,ABM,29,0,29,4,1
SC,ABM,41,2,39,6,1
MA,AMPUP,1014,3,1011,200,1
GA,AMPUP,39,0,39,13,1
VT,AMPUP,65,6,59,24,1
NC,AMPUP,131,0,131,20,1
IL,AMPUP,77,0,77,32,1
DC,AMPUP,103,0,103,19,1
OH,AMPUP,131,0,131,55,1
LA,AMPUP,43,0,43,15,1
RI,AMPUP,66,0,66,12,1
NY,AMPUP,408,0,408,91,1
CA,AMPUP,1143,4,1139,212,1
MI,AMPUP,52,0,52,16,1
FL,AMPUP,139,0,139,55,1
CT,AMPUP,766,1,765,186,1
MO,AMPUP,103,0,103,33,1
NJ,AMPUP,127,0,127,50,1
TX,AMPUP,185,0,185,53,1
CO,AMPUP,94,0,94,29,1
AL,AMPUP,11,0,11,4,1
AZ,AMPUP,117,0,117,30,1
CT,APPLEGREEN,44,44,0,16,1
CA,AUTEL,104,11,93,12,1
IL,BP_PULSE,68,68,0,15,1
CA,BP_PULSE,106,106,0,9,0.88888888888888884
MA,Blink Network,323,16,307,80,0.975
AR,Blink Network,174,18,156,63,0.88888888888888884
KS,Blink Network,63,10,53,27,0.96296296296296291
TX,Blink Network,1228,92,1136,409,0.921760391198044
CO,Blink Network,783,27,756,196,0.93877551020408168
MI,Blink Network,251,61,190,80,0.9
IA,Blink Network,165,53,112,56,0.9642857142857143
MD,Blink Network,1096,60,1036,322,0.9503105590062112
MN,Blink Network,319,74,245,95,0.93684210526315792
NC,Blink Network,549,39,510,166,0.9337349397590361
OK,Blink Network,82,20,62,23,0.86956521739130432
NE,Blink Network,51,14,37,15,0.93333333333333335
WV,Blink Network,75,6,69,24,0.91666666666666663
PA,Blink Network,558,89,469,183,0.907103825136612
OR,Blink Network,695,53,642,213,0.92488262910798125
NM,Blink Network,53,16,37,18,1
ME,Blink Network,99,6,93,17,0.88235294117647056
NV,Blink Network,122,0,122,23,0.91304347826086951
IL,Blink Network,547,108,439,156,0.92948717948717952
WA,Blink Network,1256,36,1220,317,0.93690851735015768
AZ,Blink Network,657,19,638,192,0.921875
NJ,Blink Network,554,60,494,150,0.93333333333333335
AL,Blink Network,149,16,133,47,1
GA,Blink Network,734,19,715,202,0.91089108910891092
WI,Blink Network,263,73,190,83,0.97590361445783136
VT,Blink Network,132,38,94,52,0.96153846153846156
SC,Blink Network,195,6,189,56,0.9107142857142857
CT,Blink Network,279,22,257,62,0.87096774193548387
KY,Blink Network,103,29,74,30,0.8666666666666667
VA,Blink Network,841,40,801,230,0.92173913043478262
OH,Blink Network,753,115,638,224,0.9241071428571429
DE,Blink Network,205,42,163,61,0.93442622950819676
IN,Blink Network,187,49,138,53,0.96226415094339623
NY,Blink Network,750,56,694,183,0.86338797814207646
TN,Blink Network,508,22,486,177,0.90960451977401124
LA,Blink Network,63,16,47,20,0.9
FL,Blink Network,2554,127,2427,654,0.95107033639143734
ID,Blink Network,156,16,140,52,0.96153846153846156
UT,Blink Network,344,23,321,68,0.94117647058823528
HI,Blink Network,58,0,58,26,0.92307692307692313
MO,Blink Network,169,32,137,62,0.93548387096774188
CA,Blink Network,2570,84,2486,584,0.93664383561643838
DC,Blink Network,479,0,479,125,0.928
CA,CHARGELAB,117,16,101,23,0.91304347826086951
NY,CHARGELAB,112,8,104,33,0.96969696969696972
UT,CHARGELAB,93,0,93,8,0.75
IA,CHARGELAB,146,146,0,41,0.90243902439024393
MA,CHARGELAB,25,0,25,10,1
NY,CHARGESMART_EV,1610,166,1444,214,0.97663551401869164
NJ,CHARGESMART_EV,77,48,29,12,0.91666666666666663
FL,CHARGESMART_EV,83,28,55,11,0.90909090909090906
FL,CHARGEUP,923,31,892,274,0.96350364963503654
NC,CHARGEUP,92,0,92,24,0.625
CA,CHARGIE,285,0,285,10,1
CA,CIRCLE_K,44,44,0,11,1
DE,ChargePoint Network,203,15,188,109,1
DC,ChargePoint Network,203,0,203,106,0.98113207547169812
VT,ChargePoint Network,430,21,409,243,0.99588477366255146
MO,ChargePoint Network,1868,78,1790,992,0.98689516129032262
GA,ChargePoint Network,2266,235,2031,1326,0.98416289592760176
AL,ChargePoint Network,453,130,323,281,0.98220640569395012
KS,ChargePoint Network,816,25,791,425,0.98588235294117643
PA,ChargePoint Network,2036,115,1921,1094,0.99085923217550276
MI,ChargePoint Network,1563,162,1401,887,0.98985343855693353
IA,ChargePoint Network,404,35,369,221,0.99095022624434392
CT,ChargePoint Network,975,77,898,548,0.98540145985401462
NM,ChargePoint Network,396,59,337,258,0.98837209302325579
OR,ChargePoint Network,1135,119,1016,683,0.986822840409956
RI,ChargePoint Network,553,27,526,286,0.986013986013986
AZ,ChargePoint Network,1536,29,1507,851,0.98472385428907172
KY,ChargePoint Network,207,26,181,121,0.97520661157024791
TN,ChargePoint Network,938,110,828,592,0.98986486486486491
MS,ChargePoint Network,95,34,61,66,0.98484848484848486
AR,ChargePoint Network,274,17,257,149,1
ID,ChargePoint Network,93,23,70,62,0.9838709677419355
UT,ChargePoint Network,1190,75,1115,638,0.9890282131661442
NJ,ChargePoint Network,1596,120,1476,914,0.98358862144420134
SD,ChargePoint Network,66,15,51,43,1
NV,ChargePoint Network,702,17,685,358,0.99162011173184361
NY,ChargePoint Network,4329,167,4162,2379,0.98444724674232875
NC,ChargePoint Network,1809,82,1727,989,0.98685540950455009
OH,ChargePoint Network,1789,166,1623,988,0.9919028340080972
NE,ChargePoint Network,429,48,381,239,0.97489539748953979
WA,ChargePoint Network,2884,138,2746,1574,0.98729351969504442
HI,ChargePoint Network,310,4,306,167,0.94610778443113774
OK,ChargePoint Network,179,37,142,112,0.9821428571428571
CO,ChargePoint Network,3286,238,3048,1795,0.98384401114206133
MN,ChargePoint Network,896,37,859,486,0.97942386831275718
VA,ChargePoint Network,1667,68,1599,905,0.99005524861878458
NH,ChargePoint Network,199,24,175,117,0.99145299145299148
MD,ChargePoint Network,1142,73,1069,644,0.99223602484472051
MA,ChargePoint Network,5944,273,5671,3130,0.99009584664536743
LA,ChargePoint Network,179,36,143,104,0.99038461538461542
ME,ChargePoint Network,438,65,373,266,0.98872180451127822
WI,ChargePoint Network,715,49,666,404,0.97277227722772275
MT,ChargePoint Network,73,14,59,43,0.97674418604651159
IL,ChargePoint Network,1433,73,1360,795,0.98616352201257862
SC,ChargePoint Network,343,31,312,181,0.97790055248618779
FL,ChargePoint Network,3226,147,3079,1762,0.98467650397275819
TX,ChargePoint Network,3409,157,3252,1877,0.97496004262120406
IN,ChargePoint Network,569,41,528,329,0.9878419452887538
CA,ChargePoint Network,24515,730,23785,13012,0.9808638180141408
CA,EPIC_CHARGING,83,0,83,9,1
WA,EV Connect,184,71,113,69,0.95652173913043481
IA,EV Connect,66,39,27,21,1
MN,EV Connect,45,27,18,26,0.92307692307692313
AZ,EV Connect,52,14,38,19,0.94736842105263153
OH,EV Connect,118,61,57,49,0.91836734693877553
CO,EV Connect,140,70,70,37,0.83783783783783783
PA,EV Connect,121,35,86,53,0.96226415094339623
VA,EV Connect,92,27,65,26,0.88461538461538458
NE,EV Connect,27,16,11,7,1
CA,EV Connect,1638,173,1465,235,0.902127659574468
TX,EV Connect,138,63,75,62,0.82258064516129037
GA,EV Connect,61,36,25,24,0.95833333333333337
MA,EV Connect,115,43,72,25,0.88
MI,EV Connect,145,76,69,51,0.90196078431372551
NJ,EV Connect,190,19,171,49,0.91836734693877553
IL,EV Connect,90,50,40,38,0.94736842105263153
FL,EV Connect,259,126,133,85,0.95294117647058818
NY,EV Connect,1146,102,1044,260,0.823076923076923
IN,EV Connect,134,97,37,49,0.87755102040816324
KY,EV Connect,25,13,12,14,0.7857142857142857
